ID,Familiaridade,crit_negocio,crit_negocio_z_score,serviço,crit_trabalho,crit_trabalho_z_score,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,modularity_class,stat_inf_class,clustering,eigencentrality,experiencia_profissional,experiencia_empresa
1,Muito familiarizado,6,"0,56",Tokenizer,2,"0,00",2,4,6,2,4,6,7,"0,2375","0,32995","84,666667","0,014725","0,351323","0,013079",0,23,0,0,0,"0,042373",10,1
2,Pouco familiarizado,10,"1,00",Tokenizer,10,"1,00",2,4,6,2,4,6,7,"0,2375","0,32995","84,666667","0,014725","0,351323","0,013079",0,23,0,0,0,"0,042373","0,25","0,25"
3,Pouco familiarizado,10,"1,00",Tokenizer,10,"1,00",2,4,6,2,4,6,7,"0,2375","0,32995","84,666667","0,014725","0,351323","0,013079",0,23,0,0,0,"0,042373",12,1
4,Muito familiarizado,10,"1,00",Tokenizer,9,"1,00",2,4,6,2,4,6,7,"0,2375","0,32995","84,666667","0,014725","0,351323","0,013079",0,23,0,0,0,"0,042373",3,"1,65"
5,Muito familiarizado,10,"1,00",Tokenizer,5,"0,44",2,4,6,2,4,6,7,"0,2375","0,32995","84,666667","0,014725","0,351323","0,013079",0,23,0,0,0,"0,042373",3,2
6,Familiarizado,10,"1,00",Tokenizer,9,"0,75",2,4,6,2,4,6,7,"0,2375","0,32995","84,666667","0,014725","0,351323","0,013079",0,23,0,0,0,"0,042373",5,2
7,Familiarizado,9,"0,80",Tokenizer,10,"1,00",2,4,6,2,4,6,7,"0,2375","0,32995","84,666667","0,014725","0,351323","0,013079",0,23,0,0,0,"0,042373",7,"0,3"
8,Familiarizado,10,"1,00",Tokenizer,10,"1,00",2,4,6,2,4,6,7,"0,2375","0,32995","84,666667","0,014725","0,351323","0,013079",0,23,0,0,0,"0,042373",12,3
9,Muito familiarizado,5,"0,44",Tokenization Source Api,3,"0,13",1,1,2,1,1,2,1,1,1,5,"0,108563",0,"0,009243",0,4,0,0,0,"0,045958",10,1
10,Pouco familiarizado,10,"1,00",Tokenization Source Api,10,"1,00",1,1,2,1,1,2,1,1,1,5,"0,108563",0,"0,009243",0,4,0,0,0,"0,045958","0,25","0,25"
11,Familiarizado,10,"1,00",Tokenization Source Api,10,"1,00",1,1,2,1,1,2,1,1,1,5,"0,108563",0,"0,009243",0,4,0,0,0,"0,045958",12,1
12,Pouco familiarizado,5,"0,29",Tokenization Source Api,5,"0,20",1,1,2,1,1,2,1,1,1,5,"0,108563",0,"0,009243",0,4,0,0,0,"0,045958",3,"1,65"
13,Familiarizado,10,"1,00",Tokenization Source Api,3,"0,22",1,1,2,1,1,2,1,1,1,5,"0,108563",0,"0,009243",0,4,0,0,0,"0,045958",3,2
14,Familiarizado,10,"1,00",Tokenization Source Api,8,"0,50",1,1,2,1,1,2,1,1,1,5,"0,108563",0,"0,009243",0,4,0,0,0,"0,045958",5,2
15,Pouco familiarizado,9,"0,80",Tokenization Source Api,10,"1,00",1,1,2,1,1,2,1,1,1,5,"0,108563",0,"0,009243",0,4,0,0,0,"0,045958",7,"0,3"
16,Pouco familiarizado,7,"0,50",Tokenization Source Api,9,"0,83",1,1,2,1,1,2,1,1,1,5,"0,108563",0,"0,009243",0,4,0,0,0,"0,045958",12,3
17,Muito familiarizado,6,"0,56",Payment Source Api,3,"0,13",2,1,3,2,1,3,1,1,1,28,"0,171592",0,"0,015156",0,2,0,0,0,"0,183879",10,1
18,Pouco familiarizado,10,"1,00",Payment Source Api,10,"1,00",2,1,3,2,1,3,1,1,1,28,"0,171592",0,"0,015156",0,2,0,0,0,"0,183879","0,25","0,25"
19,Pouco familiarizado,10,"1,00",Payment Source Api,10,"1,00",2,1,3,2,1,3,1,1,1,28,"0,171592",0,"0,015156",0,2,0,0,0,"0,183879",12,1
20,Pouco familiarizado,10,"1,00",Payment Source Api,7,"0,60",2,1,3,2,1,3,1,1,1,28,"0,171592",0,"0,015156",0,2,0,0,0,"0,183879",3,"1,65"
21,Muito familiarizado,10,"1,00",Payment Source Api,5,"0,44",2,1,3,2,1,3,1,1,1,28,"0,171592",0,"0,015156",0,2,0,0,0,"0,183879",3,2
22,Familiarizado,9,"0,75",Payment Source Api,8,"0,50",2,1,3,2,1,3,1,1,1,28,"0,171592",0,"0,015156",0,2,0,0,0,"0,183879",5,2
23,Pouco familiarizado,10,"1,00",Payment Source Api,10,"1,00",2,1,3,2,1,3,1,1,1,28,"0,171592",0,"0,015156",0,2,0,0,0,"0,183879",7,"0,3"
24,Familiarizado,9,"0,83",Payment Source Api,9,"0,83",2,1,3,2,1,3,1,1,1,28,"0,171592",0,"0,015156",0,2,0,0,0,"0,183879",12,3
25,Muito familiarizado,3,"0,22",Tokenization Source Db,5,"0,38",1,0,1,1,0,1,0,0,0,0,0,0,"0,01432",0,3,0,0,0,"0,040721",10,1
26,Pouco familiarizado,10,"1,00",Tokenization Source Db,10,"1,00",1,0,1,1,0,1,0,0,0,0,0,0,"0,01432",0,3,0,0,0,"0,040721","0,25","0,25"
27,Pouco familiarizado,10,"1,00",Tokenization Source Db,10,"1,00",1,0,1,1,0,1,0,0,0,0,0,0,"0,01432",0,3,0,0,0,"0,040721",12,1
28,Familiarizado,5,"0,29",Tokenization Source Db,5,"0,20",1,0,1,1,0,1,0,0,0,0,0,0,"0,01432",0,3,0,0,0,"0,040721",3,"1,65"
29,Familiarizado,10,"1,00",Tokenization Source Db,3,"0,22",1,0,1,1,0,1,0,0,0,0,0,0,"0,01432",0,3,0,0,0,"0,040721",3,2
30,Familiarizado,9,"0,75",Tokenization Source Db,9,"0,75",1,0,1,1,0,1,0,0,0,0,0,0,"0,01432",0,3,0,0,0,"0,040721",5,2
31,Pouco familiarizado,9,"0,80",Tokenization Source Db,10,"1,00",1,0,1,1,0,1,0,0,0,0,0,0,"0,01432",0,3,0,0,0,"0,040721",7,"0,3"
32,Pouco familiarizado,7,"0,50",Tokenization Source Db,9,"0,83",1,0,1,1,0,1,0,0,0,0,0,0,"0,01432",0,3,0,0,0,"0,040721",12,3
33,Muito familiarizado,7,"0,67",Payment Source Db,4,"0,25",1,0,1,1,0,1,0,0,0,0,0,0,"0,019346",0,1,0,0,0,"0,12235",10,1
34,Pouco familiarizado,10,"1,00",Payment Source Db,10,"1,00",1,0,1,1,0,1,0,0,0,0,0,0,"0,019346",0,1,0,0,0,"0,12235","0,25","0,25"
