origin,destiny
tokenizer,payment_gateway
checkout,tokenizer
tokenizer,tokenization_source_api
tokenizer,tokenization_source_api
tokenizer,payment_source_api
tokenization_source_api,tokenization_source
payment_source_api,payment_source
tokenizer,authentication_api
event_bridge_rule,command_creator
event_bridge_rule,recurrence_status_updater
billing_worker,command_creator
command_creator,command_processor
recurrence_status_updater,recurrence_api
recurrence_status_updater,legacy_charges
recurrence_api,payment_gateway
recurrence_api,subscriptions
recurrence_api,recurrences
command_processor,recurrences
command_processor,charge_processor
charge_processor,billing_api
attendant,client
attendant,payment_link_showcase
client,payment_link_frontend
payment_link_showcase,cep_api
payment_link_showcase,user_api
payment_link_showcase,payment_link_builder
payment_link_frontend,billing_api
payment_link_frontend,tokenizer
payment_link_frontend,payment_link_finder
payment_link_frontend,payment_link_status_updater
payment_link_builder,payment_link_database
payment_link_status_updater,payment_link_database
payment_link_finder,payment_link_database
payment_link_updater,payment_link_database
event_bus_centralizer,payment_link_updater
payment_integration_api,event_bus_adapter
payment_integration_api,billing_event_bridge
event_bus_adapter,billing_event_bridge
iugu_postback,billing_event_bridge
iugu_postback,payment_gateway
payment_gateway,iugu_postback
billing_event_bridge,adn_credit_card_adapter
billing_event_bridge,adn_adapter
billing_event_bridge,financial_events
financial_events,billing_event_bridge
financial_events,user_api
financial_events,company_api
financial_events,adn_google_adapter
financial_events,rds_financial_events
financial_events,payment_gateway
adn_google_adapter,integrador_financeiro
adn_adapter,integrador_financeiro
adn_credit_card_adapter,integrador_financeiro
adn_robot,integrador_financeiro
client,checkout
checkout,subscriptions
subscriptions,billing_api
billing_api,billing_table
billing_api,payment_source_api
billing_api,installment_finder
billing_api,user_subscription_handler
billing_api,user_creation_handler
billing_api,acquirer_charge_creator
billing_api,charge_scheduler
billing_table,billing_worker
billing_worker,billing_table
billing_worker,charge_notifier
billing_worker,payment_gateway
payment_gateway,billing_worker
charge_notifier,event_bus_centralizer
installment_finder,installment_manager_db
installment_saver,installment_manager_db
installment_updater,installment_manager_db
user_subscription_handler,payment_gateway
user_creation_handler,payment_gateway
charge_notifier,subscriptions
acquirer_charge_creator,installment_saver
acquirer_charge_creator,installment_updater
acquirer_charge_creator,billing_worker
charge_scheduler,charge_scheduler_db
event_bridge_rules,charge_schedule_processor
charge_schedule_processor,charge_scheduler_db
charge_schedule_processor,billing_api
acquirer_notification_adapter,billing_worker
iugu_postback,acquirer_notification_adapter
