index,Id,serviceName,type,domain,sub_domain,language,framework,architecture,first_release,status,diagram_file
0,tokenizer,Tokenizer,service,charge,tokenizer,javascript,lambda,none,,alive,tokenizer/C2.svg
1,tokenization_source_api,Tokenization Source Api,service,charge,tokenizer,typescript,lambda,clean_arch,,alive,tokenizer/C2.svg
2,payment_source_api,Payment Source Api,service,charge,tokenizer,javascript,lambda,none,,alive,tokenizer/C2.svg
3,tokenization_source,Tokenization Source Db,database,charge,tokenizer,dynamo,noSQL,none,,alive,tokenizer/C2.svg
4,payment_source,Payment Source Db,database,charge,tokenizer,dynamo,noSQL,none,,alive,tokenizer/C2.svg
5,payment_gateway,Payment Gateway (Iugu / Adyen),external_system,charge,tokenizer,,,none,,alive,tokenizer/C2.svg
6,checkout,Checkout P2,external_system,charge,tokenizer,,,none,,alive,tokenizer/C2.svg
7,authentication_api,Authentication Api,external_system,charge,tokenizer,,,none,,alive,tokenizer/C2.svg
8,event_bridge_rule,Recurrence Event Bridge Rule,queue,charge,recurrence,,,none,,alive,recurrence/C2.svg
9,recurrence_status_updater,Recurrence Status Updater,service,charge,recurrence,typescript,lambda,none,,alive,recurrence/C2.svg
10,command_creator,Command Creator,service,charge,recurrence,javascript,lambda,none,,alive,recurrence/C2.svg
11,recurrence_api,Recurrence Api,service,charge,recurrence,javascript,lambda,none,,alive,recurrence/C2.svg
12,command_processor,Command Processor,service,charge,recurrence,javascript,lambda,none,,alive,recurrence/C2.svg
13,recurrences,Recurrences Db,database,charge,recurrence,postgres,SQL,none,,alive,recurrence/C2.svg
14,charge_processor,Charge Processor,service,charge,recurrence,javascript,lambda,none,,alive,recurrence/C2.svg
15,legacy_charges,Legacy Charges,service,charge,recurrence,,,none,,alive,recurrence/C2.svg
16,subscriptions,Subscriptions Api,external_system,charge,recurrence,,,none,,alive,recurrence/C2.svg
17,attendant,Atendimento,person,charge,payment_link,,,,,alive,payment-link/C2.svg
18,client,Cliente,person,charge,payment_link,,,,,alive,payment-link/C2.svg
19,payment_link_frontend,Payment Link Frontend,service,charge,payment_link,typescript,nextjs,simple_mvc,,alive,payment-link/C2.svg
20,payment_link_showcase,Payment Link Vitrine,service,charge,payment_link,typescript,nextjs,simple_mvc,,alive,payment-link/C2.svg
21,cep_api,Cep Api,external_system,charge,payment_link,,,none,,alive,payment-link/C2.svg
22,user_api,User Api,external_system,charge,payment_link,,,none,,alive,payment-link/C2.svg
23,event_bus_centralizer,Event Bus Centralizer,external_system,charge,payment_link,,,none,,alive,payment-link/C2.svg
24,payment_link_updater,Payment Link Updater,service,charge,payment_link,typescript,lambda,clean_arch,,alive,payment-link/C2.svg
25,payment_link_status_updater,Payment Link Status Updater,service,charge,payment_link,typescript,lambda,clean_arch,,alive,payment-link/C2.svg
26,payment_link_finder,Payment Link Finder,service,charge,payment_link,typescript,lambda,clean_arch,,alive,payment-link/C2.svg
27,payment_link_builder,Payment Link Builder,service,charge,payment_link,typescript,lambda,clean_arch,,alive,payment-link/C2.svg
